0	Aaltonen, Peter	Peter Aaltonen
1	Abbott, Ben	Ben Abbott
2	Abdelhak, Sherine	Sherine Abdelhak
3	Abualkibash, Munther	Munther Abualkibash
4	Ace, Tom	Tom Ace
5	Acevedo-Aviles, Joel	Joel Acevedo-Aviles
6	Acharya, Raj	Raj Acharya
7	Agarwal, Anant	Anant Agarwal
8	Agarwal, Ankur	Ankur Agarwal
9	Agarwal, Virat	Virat Agarwal
10	Aggarwal, Varun	Varun Aggarwal
11	Aggarwal, Vikas	Vikas Aggarwal
12	Aguilar, Max	Max Aguilar
13	Ahalt, Stanley	Stan Ahalt|Stanley Ahalt
14	Ahern, Sean	Sean Ahern
15	Ahlander, Anders	Anders Ahlander
16	Ahmad, Masab	Masab Ahmad
17	Ahmed, Khadeer	Khadeer Ahmed
18	Ahmed, Nesreen K.	Nesreen K. Ahmed
19	Ahrens, Christine	Christine Ahrens
20	Aichinger, Barbara	Barbara Aichinger
21	Akella, Sreesa	Sreesa Akella
22	Akella, Venkatesh	Venkatesh Akella
23	Akgul, Bilge	Bilge Akgul
24	Akin, Berkin	Berkin Akin
25	Akselrod, Polina	Polina Akselrod
26	Al-Saffar, Sinan	Sinan Al-Saffar
27	Alaghband, Gita	Gita Alaghband
28	Alam, Sadaf	Sadaf Alam
29	Albert, Curt	Curt Albert
30	Alexander, David	David Alexander
31	Alexander, Matthew	Matt Alexander|Matthew Alexander
32	Ali, Murtaza	M. Ali|Murtaza Ali
33	Amarasinghe, Saman	Saman Amarasinghe
34	Amduka, Mohammed	Mohammed Amduka
35	Amidon, Peter	Peter Amidon
36	Ananian, C. Scott	C. Scott Ananian
37	Anantha, Vera	Vera Anantha
38	Anderson, Christian	Christian Anderson
39	Anderson, James C.	James C. Anderson
40	Anderson, Ross	Ross Anderson
41	Anderson, Thomas	T. Anderson|Thomas Anderson
42	Andraka, Raymond	Raymond Andraka
43	Appling, Scott	Scott Appling
44	Arcand, William	Bill Arcand|W. Arcand|William Arcand
45	Arce-Nazario, Rafael	Rafael Arce-Nazario
46	Areno, Matthew	Matthew Areno
47	Armstrong, Rob	Rob Armstrong
48	Arturov, Konstantin	Konstantin Arturov
49	Artz, Ray	Ray Artz
50	Arvind, 	Arvind
51	Asanovic, Krste	Krste Asanovic
52	Astala, Roope	Roope Astala
53	Astrom, Anders	Anders Astrom
54	Asvija, B.	B. Asvija
55	Atwater, Brad	Brad Atwater
56	AuYeung, Michael	Michael AuYeung
57	Averill, Daniel	Daniel Averill
58	Ayrignac, Renaud	Renaud Ayrignac
59	Backues, Mark	Mark Backues
60	Bacon, Fred	Fred Bacon
61	Bader, David A.	D. A. Bader|David Bader|David A. Bader
62	Badics, Z.	Z. Badics
63	Bahar, R. Iris	R. Iris Bahar
64	Bahargam, Sanaz	Sanaz Bahargam
65	Bailie, Scott	Scott Bailie
66	Baker, Brad	Brad Baker
67	Baker, Zachary	Zachary Baker
68	Bakos, Jason D.	Jason D. Bakos
69	Bakshi, Amol	Amol Bakshi
70	Balaji, V.	V. Balaji
71	Baldwin, A. Taylor	A. Taylor Baldwin
72	Balster, Eric	Eric Balster
73	Bambha, Neal	Neal Bambha
74	Bamell, Mark	Mark Bamell
75	Banglore, Puri	Puri Banglore
76	Bannon, Pete	Pete Bannon
77	Banton, Randy	Randy Banton
78	Bapty, Theodore	Theodore Bapty
79	Baranski, Tomasz	Tomasz Baranski
80	Barbieri, Larry	Larry Barbieri
81	Bardhan, Jaydeep P.	Jaydeep P. Bardhan
82	Bardouleau, Graham	Graham Bardouleau
83	Barnell, Mark	Mark Barnell
84	Barnes, Kerry	Kerry Barnes
85	Barrett, Richard	Richard Barrett
86	Bash, Stephen	Stephen Bash
87	Basili, Victor	Victor Basili
88	Baskaran, Muthu	M. Baskaran|Muthu Baskaran
89	Bastoul, Cédric	Cédric Bastoul
90	Battat, James B. R.	James B. R. Battat
91	Batten, Christopher	Christopher Batten
92	Bauman, Alexander	Alexander Bauman
93	Bayati, Mahsa	Mahsa Bayati
94	Bayoumi, Magdy	Magdy Bayoumi
95	Beamer, Scott	Scott Beamer
96	Beard, M. S.	M. S. Beard
97	Beaucamps, Pierre-Edouard	Pierre-Edouard Beaucamps
98	Beckmann, Bradford M.	Bradford M. Beckmann
99	Beckwith, Bill	Bill Beckwith
100	Bekirov, Birol	Birol Bekirov
101	Belanovic, Pavle	Pavle Belanovic
102	Bell, Ron	Ron Bell
103	Beltran, Vicenç	Vicenç Beltran
104	Benincasa, Milissa	Milissa Benincasa
105	Bennett, Dave	Dave Bennett
106	Bennett, Rex	Rex Bennett
107	Bennis, Abderrahmane	Abderrahmane Bennis
108	Benson, Thomas M.	Thomas M. Benson
109	Bent, John	John Bent
110	Berger, Christian	Christian Berger
111	Bergeron, Bill	B. Bergeron|Bill Bergeron
112	Bergin, Jameson	Jameson Bergin
113	Bergman, Keren	Keren Bergman
114	Bergmann, Jules	Jules Bergmann
115	Bernau, Christoph	Christoph Bernau
116	Bernholdt, David	David Bernholdt
117	Berry, Jonathan W.	Jon Berry|Jonathan W. Berry
118	Besler, Rich	Rich Besler
119	Bestavros, Azer	Azer Bestavros
120	Bestor, David	D. Bestor|David Bestor
121	Bezanson, Jeff	Jeff Bezanson
122	Bhardwaj, Asheesh	Asheesh Bhardwaj
123	Bhattacharya, Tanmoy	Tanmoy Bhattacharya
